ID	Block	Pop	CrossPop	Cytop	FamA	Fam	SurvPla	SurvSum0	SurvWin1	SurvSum1	SurvWin2	SurvSum2	SurvWin3	SurvSum3	SurvWin4	SurvSum4	Flow1	Flow2	Flow3	Flow4	TotSh1	TotSh2	TotSh3	FrSh1	FrSh2	FrSh3	SeFrG1	SeFrG2	SeFrG3	FlStart1	FlStart2	FlStart3	H1Sh1	TotFl1	PsM12
151	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9	5	5	8.857142857	4.8	6	13	3.666667	0.666666667	157	158	170	5.38	105	8.699033333
152	S2	N	N	N	N3	N3	1	1	1	1	0	0	0	0	0	0	1	0	0	0	6	0	0	4.2	0	0	6	0	0	163	NA	NA	7.4	30	13.40473333
153	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	0	0	0	0	1	1	0	0	6	1	0	5.166666667	1	0	8	0	0	163	162	NA	9.05	48	14.1342
154	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	0	8	4	3	6.8	3	4	2.333333	0.666667	NA	163	159	188	6.15	45	13.82003333
155	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	2	2	4	4	2	8.666667	2	NA	157	162	179	4.81	24	6.088
156	S2	F2	NSx	N	F2B	F2B	1	1	1	1	0	0	0	0	0	0	1	0	0	0	9	0	0	6.666666667	0	0	6	0	0	156	NA	NA	5.09	96	10.15743333
157	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	3	5	5.166666667	4	5	4.333333	0.5	1	163	161	158	4.78	43	10.60236667
158	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	3.333333333	5	5	2	2	1.333333333	163	155	170	7.22	16	9.997033333
159	S2	F1 	Nx	N	F1C	F1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	NA
161	S2	F1 	Sx	S	F1C	F1A	1	1	1	1	1	1	1	1	0	0	1	0	1	0	7	0	1	7.666666667	0	7	2.333333	0	1.666666667	159	NA	158	5.27	54	8.045533333
162	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	3.25	3	0	4.666667	0	1.666666667	167	166	163	3.56	21	4.9643
163	S2	F1	Sx	S	F1A	F1A	1	1	1	1	0	0	0	0	0	0	1	0	0	0	5	0	0	5.5	0	0	7.666667	0	0	157	NA	NA	4.09	30	9.7885
164	S2	S	S	S	S6	S6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12	2	1	11.666667	1	NA	156	178	193	2.19	13	9.365633333
165	S2	F1 	Nx	N	F1C	F1B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	3.5	2.333333333	5	8.333333	3.666667	0	167	158	158	4.98	9	9.167733333
167	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	6	0	3	7	0	NA	163	NA	180	4.8	8	12.3984
168	S2	F1 	Sx	S	F1C	F1A	1	1	1	1	1	1	1	1	1	1	1	1	1	0	5	2	2	4.2	4	4	2.333333	8.333333	0.333333333	159	157	158	4.75	31	8.759666667
169	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	5	5	5	2.5	4	10.333333	0	0	159	169	167	5.05	58	11.95843333
170	S2	N	N	N	N2	N2	1	1	1	1	0	0	0	0	0	0	1	0	0	0	12	0	0	3.083333333	0	0	8.666667	0	0	163	NA	NA	7.09	72	11.08476667
171	S2	S	S	S	S16	S16	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	9	3	0	10	0	0	153	158	NA	1.77	15	4.9292
172	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	3	4	6.714285714	1.5	11	1.333333	1	0.333333333	163	168	170	7.57	56	12.98216667
173	S2	F1 	Sx	S	F1C	F1A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	2	4.25	5	11	6.333333	3	0.333333333	163	159	158	5.53	25	9.290166667
174	S2	F1 	Sx	S	F1B	F1A	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	2	0	5	5	0	0.333333	0	NA	158	166	NA	0	13.20795
175	S2	F1 	Sx	S	F1B	F1A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	NA
176	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	0	0	0	0	0	1	0	0	0	11	0	0	4	0	0	7.333333	0	0	163	NA	NA	6.34	42	10.3655
177	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	8	8	7.5	4	7	4.666667	0	0.333333333	159	157	163	6.38	126	12.0914
178	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	0	0	0	0	1	0	0	0	2	0	0	7.5	0	0	8.333333	0	0	157	NA	NA	3.9	20	8.7308
179	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	3	5.333333333	3.4	5	9	0.666667	0.333333333	159	157	157	5.13	44	9.7418
180	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	3	0	0	NA	NA	NA	168	193	NA	0	13.653
181	S2	F2	NSx	N	F2B	F2B	1	1	1	1	0	0	0	0	0	0	1	0	0	0	4	0	0	4.333333333	0	0	10.333333	0	0	163	NA	NA	2.94	18	19.63656667
183	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	3.5	0	0	2.666667	0	0	159	NA	NA	3.25	12	8.385866667
